#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14
-1,1,13,2,3,0,4,0,2,1532,,32723,11952,5,7,721,2506,1,0,1,35125,35125,,177.333,,23726.8,31,92,176,167,8,178,15,487,11,40,54,4,13,53
-1,1,13,4,1,42,1,0,2,29,,9776,8700,2,7,400,395,1,1,1,21514,21514,28,77,1098.5,12311.4,65,305,1186,1224,56,1338,14559,25832,36023,203,1200,73600,4176,14732
-1,10,4,1.9,1,2,0,4,1,291385,,34417,2105,34109,0.454545,673,644,0,0,10,57432,49354,,367,,2974,214236,122,5601,35,17,201,1186,1508,64,7168,1312,9067,1226,2668
-1,9,5,2,0,0,1,0,1,16,,13497,417,206,0.6,467,1195,0,2,9,31780,27972,,153,1475,,49,23291,104,95,2824,383,1829,235,2859,4282,29958,13,3160,36
-1,1,13,1,1,1,1,0,1,3887,,5967,582,19,7,326,1039,1,0,1,5967,5967,41.1667,178.333,467,2104,202839,20979,11981,1073,102,407,2681,5524,1731,257,808,6122,37,1104
-1,7,7,2,1,0,0,1,2,31,,5303,244,17,1,301,570,1,1,7,9205,16497,22.6667,238,580.5,,98988,89401,1195,141,1186,5,584,47745,5105,86,29226,4,1186,3
-1,1,13,1,2,4,2,0,2,563,,2080,340,34,7,908,1070,1,2,1,2080,2080,8.5,206.4,526.333,1777,1,2603,4315,891,485,56,417,640,435,102,223,1381,22,18
-1,1,13,3,1,2,1,0,1,389,,7140,5534,2,7,337,535,0,0,1,9625,5036,22,238.429,1117,23039.3,168461,296315,8498,5464,18,57,3122,392,3,3845,151,1001,3558,3730
-1,2,12,4.5,4,1,10,1,2,301,,9326,4905,14,4.33333,711,872,0,0,2,22028,11955,,,1209.6,7544.71,46,1552,6,30,46,1192,48,33,2582,57,177,113,23,4497
-1,1,13,17,6,7,15,0,2,66039,,21178,6086,4,7,490,762,1,4,1,98374,824,,209,845.5,8131,0,135182,7,8,8,87,97,60,8,26,82,181,271,9
-1,3,11,4.33333,1,9,1,7,1,32699,,11192,10261,1693,3,587,878,0,0,3,27300,6580,46.5,143,960,18588.2,0,261,3,201,2221,337,13,31658,1481,5824,14,953,4625,4
-1,0,14,,1,,1,,1,47,,,913,,15,268,0,1,,0,,,31,179.333,839.25,3922,79080,6,86,5,8,23076,28697,216,145,96,1073,9,17,37
-1,12,2,2.08333,2,2,2,2,3,4,,67890,121,54,0.230769,283,1659,2,1,11,136155,53811,47,195,,,0,1624,16058,1127,5831,4159,11883,372758,28856,9889,20182,3,10256,2679
-1,0,14,,5,,5,,2,906,,,2757,,15,980,0,2,,0,,,11,314.333,1128.4,6400.6,0,57,1599,4026,27672,22385,7960,12826,1313,8186,6145,18301,4396,23282
-1,10,4,2.4,0,2,0,4,1,3374,,6723,369,62792,0.454545,245,445,1,0,10,15634,3447,,259,478,,8278,118,2817,12,38995,7032,10516,3981,19,57913,43728,168244,32654,15976
-1,0,14,,1,,1,,1,136,,,185,,15,558,0,3,,0,,,18.3333,111,580,,139228,69,14,46,102,12,1358,142,20,2650,14,9,6,57
-1,1,13,4,2,1,2,0,2,28313,,20221,5528,6,7,1959,1447,0,0,1,37155,9861,,222.333,729,8486.71,64,129,8619,2570,33,5,268,445,15,15,41,928,1072,416
-1,10,4,1.5,0,0,0,0,1,7918,,3208,418,6464,0.454545,268,1675,2,1,10,3512,2930,17.5,,818,,25731,6935,354,1110,7327,1714,49822,7247,2150,5,12609,1444,28,5617
-1,14,0,2.5,,1,,1,,,,41191,,14,0.0666667,0,375,,2,13,85849,49403,,,,,3,92,104,1364,1366,76,26,4131,73,150,4259,74,146,99
-1,8,6,3.875,1,10,1,16,1,175110,,12269,4808,436,0.777778,1266,785,0,1,8,41311,7057,,,548,5659.6,81,94,480409,7,3099,37229,1,53,76560,1374,8511,420857,59,4234
-1,14,0,2.07143,,1,,2,,,,11395,,66,0.0666667,0,1547,,3,14,17694,7144,,,,,10,1145,7622,375121,38356,6501,1580,16679,86160,928,395,2260,267,1253
-1,2,12,2,1,1,0,0,1,73,,2745,584,4,4.33333,791,2240,1,3,2,3876,3572,19.3333,130.667,1289,4627,0,5537,15,58288,4,1411,8685,2182,22160,2837,4363,4124,45891,8
-1,0,14,,1,,1,,1,5,,,250,,15,326,0,2,,0,,,20.8333,291.2,639.667,,3,3,3,29,11,84,39,807,3,26,419,108,3,3
-1,0,14,,1,,1,,1,40,,,430,,15,550,0,1,,0,,,17.625,294.667,1009,2974,55,926,193,7,90,13,27,72,1485,31538,7722,10,17,22
-1,11,3,2.09091,0,1,0,1,1,25976,,19569,7244,40718,0.333333,613,1072,0,1,11,37427,40270,,,1057,19617,1753,14413,81720,37918,258,45441,24,11480,77,55007,72066,28326,17656,44280
-1,14,0,1.71429,,1,,1,,,,10364,,4496,0.0666667,0,374,,2,13,14557,9395,,,,,790,4472,155,405,30,21080,187,1159,307,1074,3438,870,309,313
-1,1,13,2,1,1,1,0,2,2932,,3596,919,4,7,500,2236,1,1,1,6987,6987,10,308,1074,2813.5,19,27,61,19664,489,3,995,113,327,8198,10,8,22,10
-1,2,12,1,0,1,1,0,1,2006,,4316,1620,5466,4.33333,531,2435,1,0,2,4316,4316,65,309.667,839,3771,73935,4037,1309,8054,3693,4897,3749,4068,1423,1653,1190,394,1055,23060
-1,0,14,,0,,1,,1,4,,,443,,15,181,0,1,,0,,,24.6667,308.25,1205,,133297,26,33,58,12,10,15,32,24,19,1344,30,45,18
-1,7,7,4.85714,1,8,1,12,1,1016,,16088,3533,42249,1,582,940,1,0,7,53332,8341,31,,,4116.33,44821,567,3733,139,454,3308,191,225,104,838,72,16073,94663,30522
-1,1,13,4,2,14,2,0,2,39,,1841,3504,2,7,704,207,1,0,1,6564,6564,11,,804.5,5886,88,72,91,471,1376,169169,21987,315,2699,6982,3110,3218,28,770
-1,12,2,1.41667,1,0,2,1,1,12,,1946,17,31,0.230769,336,646,3,3,10,2506,1880,17,,,,15,328,1428,5398,109,239,1468,1506,6675,33,1511,8861,1413,116
-1,12,2,1.41667,1,0,0,1,2,1476,,4980,78,281,0.230769,1494,1643,0,0,12,6090,5944,,78,,,5,1193,87,1169,430,11168,247,1029,118,391,5343,2782,1676,221824
-1,0,14,,0,,1,,1,8992,,,287,,15,453,0,1,,0,,,20.1429,180.25,1050.33,,1376,2615,26200,13045,9907,7,11,1147,432,34364,1165,149,2739,46523
-1,11,3,1.72727,0,0,0,1,1,39192,,22258,190,7537,0.333333,261,321,0,0,11,35571,32727,,189.667,,,10,894,20704,676,10264,7267,11419,20340,21432,30660,9971,8331,4448,240484
-1,3,11,8,2,24,3,18,2,834,,9031,5810,6,3,209,1105,0,1,3,32920,1544,,158,1091,9111,4225,34,11,42,25847,4349,375,3931,178,1616,9578,3331,70,7162
-1,8,6,1.75,0,0,0,1,1,81186,,25462,259,112,0.777778,741,1067,1,2,8,34783,33467,11.4,,1497,,0,243346,3131,1638,776,3152,1365,2995,44512,1786,2772,1694,110,2467
-1,7,7,2,1,1,1,0,2,35987,,14567,1146,46574,1,721,1025,1,1,5,31005,17715,6.66667,,537,6394,2908,62071,36256,1961,54,7396,30431,93363,1286,27426,1021,6255,7,2063
-1,9,5,2.44444,5,2,4,2,3,2332,,18700,869,302,0.6,965,616,2,0,9,43246,14558,,,868.75,,10,189,4205,328,5407,1477,1394,11,1395,32,40,11895,15830,30
