#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16
-1,3,13,2.33333,1,1,1,0,1,640,,56572,230,566,3.5,414,388,1,0,3,173953,173953,19,119.333,832.333,,13,572,4501,7764,10143,3056,1513,1280,15039,5139,1631,291,11246,115,28387,7974
-1,0,16,,2,,2,,1,1803,,,2552,,17,383,0,1,,0,,,28,187,1069,4925.12,70522,9,11777,164,1280,7,2454,11695,5790,3356,5751,158,13,1997,10,23638
-1,14,2,1.64286,1,0,0,1,1,2923,,10355,339,1442,0.2,495,1448,0,2,13,15914,10218,,339,,,1667,2538,829,854,1482,1111,1588,2697,1572,1,3,1288,1360,307,1183,1571
-1,7,9,2.85714,1,13,1,15,2,301368,,18682,4669,679,1.25,947,885,0,0,7,51270,8648,52,302.5,728,8127.8,12,1660,87473,12185,6734,128,12886,91,15387,43258,807,4307,457443,210712,22995,147877
-1,3,13,4.66667,3,7,3,8,2,28890,,24827,4276,16,3.5,609,1064,1,1,3,115106,1145,30,154.5,1376,12694.5,18355,260,6867,39918,14862,31825,28421,155392,537118,182165,97935,9,831,45,8718,1919
-1,0,16,,2,,2,,2,29,,,1698,,17,187,0,1,,0,,,19.75,142,775.333,4527.6,45,2512,1405,81,146,68,71,6,1155,45,392,1134,1448,10110,6970,30
-1,16,0,2.125,,2,,5,,,,27757,,11992,0.0588235,0,751,,1,16,43917,47887,,,,,0,12868,68864,69234,9549,120,4199,79,4475,2816,5661,2108,6669,4346,8728,38843
-1,5,11,6.2,3,3,5,3,3,2836,,8982,11053,39894,2,411,388,0,1,5,24915,20951,,380,1302,16756.7,24,11,1314,18,354,11,3,1054,513,857,80,44,87,357,3229,89816
-1,3,13,1.33333,3,2,4,2,2,26320,,5194,2349,17622,3.5,560,1084,1,0,3,5590,5590,30.6667,267.5,899.667,5442.2,31651,6367,118965,2606,99866,273033,2922,50,1597,5753,80,1482,1135,129,8605,2745
-1,4,12,3,1,2,1,1,1,60550,,31083,10758,5,2.6,760,478,1,3,4,72760,50842,29,277,544,31777.5,11,22311,3038,15829,54687,22,7210,6968,47816,133522,840,43990,8602,51643,11,186855
-1,2,14,1,1,1,3,0,1,16430,,41178,1099,15,5,938,1820,1,5,1,82330,,11,159,991,3011.5,442141,127,137,1076,92260,41410,52,33,16,23,18641,18,37,6021,2564,33
-1,15,1,1.8,1,2,0,3,3,295181,,42468,2152,2519,0.125,154,772,0,1,15,60716,67045,,,,2152,0,45634,46165,14660,28590,49091,99453,125224,80607,148445,23031,27453,50319,1095,7432,73301
-1,15,1,1.46667,0,0,0,0,1,27,,10689,8,165,0.125,679,2141,0,1,14,14741,9367,8,,,,2895,36024,1456,1343,1606,19,7054,2936,144,2860,2590,2679,57,3113,19924,17377
-1,2,14,2,2,4,2,2,2,34,,51495,1016,189886,5,584,967,1,1,2,78828,78828,,264.167,831.5,3823.5,58293,343444,13324,86173,1474,76263,1683,4495,78492,29,31,85,22,55,1,53
-1,2,14,1,1,1,1,0,1,33967,,1048,711,180744,5,366,917,1,1,2,1048,1048,24.1429,181.75,591,4236,419098,225,520045,9856,14338,50412,217314,15780,3086,145,21505,24350,57397,22080,5513,14700
-1,0,16,,1,,1,,1,40379,,,1431,,17,532,0,1,,0,,,31.4286,221,847.333,4922,35,26,4278,9,366,985,90,1053,180,9,1193,254,68,434,8,153
-1,0,16,,0,,1,,1,2218,,,13853,,17,216,0,1,,0,,,5,336.8,1140.2,71416,0,20,723,25,1630,7169,253,2365,25,213,17,90,227,141,2222,7
-1,8,8,3.125,1,3,1,2,2,525,,26378,3620,1515,1,375,483,1,2,8,64400,34132,13,,487,6910.33,18,178388,8268,16120,52096,35915,24502,20,7,146534,1843,178412,54543,5763,8821,64
-1,0,16,,1,,2,,2,7496,,,4544,,17,331,0,1,,0,,,21,232.75,851,7372.44,3937,76,141,7,284,1319,4,186,635,1809,2659,234,91,1,1364,47
