#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18,gap19,gap20
-1,14,6,1.78571,0,0,1,1,1,52689,,22571,410,335,0.466667,574,659,1,2,13,38460,44654,11,332,1121,,8462,1577,52446,2397,1140,2887,295,93,10,920,9,101260,39955,591,8745,3860,5869,41623,1582,964
-1,13,7,1.38462,0,0,0,1,1,2126,,4112,2114,498,0.571429,595,4365,0,1,9,6112,2931,43.4,,,7290,1515,40319,97598,10490,1067,20286,290,6871,23292,1067,7316,7146,63636,8730,1117,43323,38747,16189,5523,20298
-1,0,20,,1,,2,,1,14669,,,968,,21,216,0,1,,0,,,22.2,135,966.5,3661.67,122426,64762,5,21,24,9,6,6,17,15,3,18,80,5,86,279,835,100,240,5
-1,17,3,1.17647,0,1,0,1,1,40614,,131295,75,1080,0.222222,586,2445,0,2,14,132601,166749,,75,,,3,9695,4222,4697,7060,10283,732,282,6123,1208,15390,11471,3698,3756,8345,10764,51284,12009,5820,48
-1,19,1,1.89474,1,1,0,2,1,776,,45194,846,68,0.1,289,805,0,1,18,77422,81728,,,846,,11,26792,5690,1354,691,2586,1597,8292,7641,776,1991,9721,1165,1889,74,1086,4209,10827,7143,2646
-1,0,20,,4,,4,,2,86689,,,1906,,21,756,0,1,,0,,,,268,859.2,3870.14,184176,100822,10319,5703,70253,38577,14909,30222,2317,17325,17271,31556,1301,11517,30767,10303,13882,2122,31285,19888
-1,16,4,1.1875,0,0,1,0,1,598,,28169,44,16921,0.294118,294,1405,1,0,13,35089,14036,6,82,,,39,4,1400,897,181,1721,7190,8700,8470,32985,70391,4514,3087,3794,7362,7042,40295,2077,2264,24720
-1,8,12,2.375,0,1,1,1,1,253593,,5338,1497,223,1.44444,510,553,0,1,7,16556,1787,,184.5,670,3878.5,10,90,1257,39332,1131,561,7,15,87,5,751,681,122,522,617,8828,7,48,9243,362
-1,17,3,4.11765,4,6,2,9,2,10973,,24916,632,124,0.222222,376,815,1,1,17,75043,13705,,314,950,,5,4,1502,56394,23593,68014,60492,9939,4217,6100,9807,2816,353,152928,16659,69220,14368,17538,1306,60574
-1,0,20,,1,,1,,1,136295,,,2201,,21,922,0,1,,0,,,10.2857,228.6,889.333,8027.4,48,60,18,102,558,39186,2831,26,38,1224,35,27304,8924,1827,8009,268,317,31395,70,19872
